num,food_name,standard_amount,kcal,protein,fat,carb,sugar,sodium
1,월남쌈,100g,118,5.94,4.97,12.25,5.5,230
2,와플,100g,292.4,4.52,3.37,40.35,15.12,214.8
3,또띠아,100g,218,5.7,4.7,43.4,0.8,417
4,타코,100g,246,15.31,13.56,15.62,0.33,367
5,티라미수,100g,344,6,25,25,15,166
6,우동,100g,158,1.78,3.22,30.48,0.02,157
7,스테이크,100g,188.5,32.52,6.45,0.14,0,118.5
8,타코야끼,100g,146,6,6,17,17,340
9,떡볶이,100g,218.61,9.74,8.59,24.52,5.46,272.16
10,초밥,100g,145,5,3,25,2,350
11,샐러드,100g,137.22,3.81,9.69,8.73,5.64,184.56
12,샌드위치,100g,250.06,9.63,9.15,26.08,5.25,430.2
13,사시미,100g,120,20,3,0,0,50
14,슈바인학센,100g,290,20,22,0,0,800
15,미역국,100g,18,2.09,0.54,1.21,0,306.8
16,시리얼,100g,376,7.24,3.38,83,22.57,8
17,소바,100g,86,2.49,0.32,17.96,1.44,254
18,솜땀,100g,97,7.56,4.24,8,4.89,323
19,수프,100g,91,4,5.42,6.79,1.46,251
20,김치찌개,100g,50,4.26,2.29,3.06,0.89,320
21,전,100g,161.96,7.64,7.73,15.14,1.77,293.64
22,라자냐,100g,224,8.85,11.29,22.02,0.6,178
23,랍스타,100g,97,20.91,0.95,0,0,535
24,마카롱,100g,436,7.03,16.07,69,51.89,45
25,마들렌,100g,109,7.29,6.48,5.36,2.45,352
26,마파두부,100g,109,7.29,6.48,5.36,2.45,352
27,밀푀유,100g,341,4.6,19,37,19,176
28,머핀,100g,305,7.63,10.87,43.77,7.34,440
29,난,100g,260,7,5,46,1,350
30,나초,100g,472,7.1,20.68,67.78,0.78,328
31,나시고랭,100g,150.7,6.6,4.6,19.8,0.4,302
32,오믈렛,100g,162,4.8,4.8,25,0,490
33,오니기리,100g,176,3.92,4.9,30.4,3.92,265
34,팟타이,100g,146,3.98,6.2,18.54,5.41,270
35,파에야,100g,422,13.3,3.33,82.2,2.22,1480
36,팬케이크,100g,284,8.64,4.77,50.37,3.82,875
37,파이,100g,353,10.97,4.05,66.29,3.02,1177.5
38,파스타,100g,157,5.76,0.92,30.68,0.56,232
39,피자,100g,255,8.37,2.48,48.48,1.79,704.75
40,팝콘,100g,252.04,12.6,11.79,27.97,4.32,413.42
41,폭찹,100g,190,18.37,9.04,7.82,0,414
42,파운드케이크,100g,385,6.47,16.05,54.22,29.43,136.31
43,푸딩,100g,316,13.36,16.21,28.62,2.41,676
44,퀘사디아,100g,127,7.13,4.57,13.95,0.42,333
45,라멘,100g,436,10.29,15.71,63.27,1.78,2002
46,라따뚜이,100g,53,2.6,0.7,9.18,0.72,275
47,쌀국수,100g,108,1.79,0.2,24,0.03,276
48,리조또,100g,76,1.83,1.88,12.98,1.38,234
49,아이스커피,100ml,2.21,0.15,0.02,0.31,0,1.11
50,쿠키,100g,486,5.42,21.39,68.97,27.62,328
51,크레페,100g,224,8.85,11.29,22.02,4.48,278
52,크로와상,100g,400.94,7.66,14.91,39.75,12.07,329.03
53,크로크무슈,100g,457,17,14,57.65,4.52,532
54,카레,100g,109.83,3.85,2.97,16.17,3.3,225.67
55,다쿠아즈,100g,495,10,21.5,60,55,200
56,딤섬,100g,202,9.57,12.8,12.8,2.13,564
57,도넛,100g,449,5.93,25.08,51.63,16.1,345.5
58,에그베네딕트,100g,288,13.81,22.1,8.48,1.17,468
59,에그타르트,100g,328.29,5.67,14.7,33.05,13.23,300.43
60,에스카르고,100g,158,19.99,6.91,2.48,0,287
61,피쉬앤칩스,100g,214,7.59,9.66,24.8,1.38,455
62,퐁듀,100g,276,19.32,21.2,1.95,0.53,278
63,감자튀김,100g,324,5,15,43,0,189
64,프렌치토스트,100g,300.5,8.16,17.5,28.13,8.61,327.5
65,갈비,100g,225.85,17.38,14,6.65,3.01,345.62
66,젤라또,100g,247,0.77,0,62.92,62.92,57
67,김밥,100g,167.12,5.31,4.58,26.2,0.71,310.65
68,그라탕,100g,368,8.77,4.39,71.9,5.26,409
69,핫도그,100g,276.89,8.58,16.73,29.22,5.77,521.73
70,훠궈,100g,93,4.81,5.11,6.83,1.13,390
71,짜장면,100g,119.43,3.96,2.12,20.61,2.36,344.71
72,잡채,100g,113.13,3.67,3.39,17.1,2.81,287.73
73,카야토스트,100g,426,8,22,49,16,350
74,케밥,100g,159,9.71,4.27,19.77,1.77,264
75,백숙,100g,97.33,7.39,5.78,3.52,0.39,92.67
76,바게트,100g,309.22,7.65,10.48,45.41,7.59,435.66
77,반미,100g,272,10.5,1.1,54.9,4,534
78,바베큐,100g,257,26.45,15.96,0,0,219
79,육회,100g,130,9.93,6.43,8.12,5.29,418
80,비빔밥,100g,110.56,4.06,2.25,18.44,1.95,230.22
81,빙수,100g,98,0.36,0.63,23,17.6,12
82,불고기,100g,140.42,9.06,6.06,12.41,3.81,325.5
83,분짜,100g,136,5.91,3.66,19.75,5.47,398
84,햄버거,100g,290,15.71,11.8,28.83,3.64,397
85,부리토,100g,247,9.89,10.99,27.47,4.4,308
86,케이크,100g,252,2.4,8.5,42.9,36.11,144
87,까눌레,100g,270,5.31,2.58,53.61,26.48,55
88,카프레제,100g,121,6.25,7.99,5.92,1.01,185
89,치킨,100g,285.71,21.57,12.2,12.14,3.18,401.79
90,칠리크랩,100g,151,5.9,4.4,22,8.8,460
91,초콜릿,100g,535,7.65,29.66,59.4,51.5,79
92,츄러스,100g,447,2.79,28.28,45.94,25.19,144
93,핫커피,100ml,4,0.28,0.38,0.09,0,30
